Trip_Type,Surroundings,Room_Type,Season,Duration_Days,Activity_To_Perform,Budget_INR,Destination
Romantic Getaway,Religious Town,Heritage Hotel,Monsoon,6,Ayurvedic Spa,72597,Uttar Pradesh
Honeymoon Trip,Forest,Houseboat,Autumn,8,Honeymoon Cruise,72597,Madhya Pradesh
Solo Trip,Mountains,Luxury Hotel,Spring,9,Motorcycling,72597,Himachal Pradesh
Wildlife Trip,Mountains,Jungle Lodge,Summer,7,Safari,72597,Himachal Pradesh
Cultural Trip,Desert,Ashram Accommodation,Spring,10,Heritage Walk,72597,Ladakh
Group Trip,Religious Town,Homestay,Spring,6,Temple hopping,72597,Uttar Pradesh
Backpacking Trip,French Colony,Heritage Hotel,Spring,3,Camping,72597,Puducherry
Solo Trip,Hills,Beachfront Villa,Autumn,5,Trekking,72597,Kerala
Romantic Getaway,Backwaters,Houseboat,Monsoon,6,Scuba Diving,72597,Kerala
Wildlife Trip,Beach,Hostel Dorm,Summer,10,Safari,72597,Goa
Honeymoon Trip,Royal Palaces,Homestay,Summer,2,Scuba Diving,72597,Rajasthan
Family Trip,Beach,Camping,Monsoon,7,Ayurvedic Spa,72597,Goa
Pilgrimage Trip,Deserts,Camping,Summer,8,Religious visit,72597,Rajasthan
Backpacking Trip,Temples,Camping,Spring,3,Camping,72597,Madhya Pradesh
Pilgrimage Trip,Mountains,Houseboat,Summer,10,Religious visit,72597,Jammu and Kashmir
Honeymoon Trip,Backwaters,Ashram Accommodation,Autumn,7,Relaxation,72597,Kerala
Pilgrimage Trip,Mountains,Homestay,Autumn,3,Religious visit,72597,Himachal Pradesh
Pilgrimage Trip,Backwaters,Luxury Hotel,Summer,4,Religious visit,72597,Kerala
Honeymoon Trip,Religious Town,Houseboat,Spring,9,Scuba Diving,72597,Uttar Pradesh
Solo Trip,Temples,Heritage Hotel,Winter,3,Skiing,72597,Madhya Pradesh
Family Trip,French Colony,Houseboat,Autumn,9,Toy Train Ride,72597,Puducherry
Wildlife Trip,Temple Town,Hostel Dorm,Spring,5,Safari,72597,Maharashtra
Cultural Trip,Religious Town,Luxury Hotel,Autumn,7,Temple hopping,72597,Uttar Pradesh
Romantic Getaway,City,Heritage Hotel,Spring,7,Ayurvedic Spa,72597,Uttar Pradesh
